Album,Folder,Source,Output,Texture,Original Photo,Timestamp
Intersection,intersection,..\Image_Output\DSC_0291.jpg,source\images\albums\intersection\0079_DSC_0291.webp,,DSC_0291,00:09.100
Monomial,monomial,..\Image_Output\DSC_1002.jpg,source\images\albums\monomial\0080_DSC_1002.webp,,DSC_1002,00:09.217
Intersection,intersection,..\Image_Output\DSC_0452.jpg,source\images\albums\intersection\0081_DSC_0452.webp,,DSC_0452,00:09.333
Yardstick Metric,yardstick-metric,..\Image_Output\DSC_0459.jpg,source\images\albums\yardstick-metric\0082_DSC_0459.webp,,DSC_0459,00:09.450
Monomial,monomial,..\Image_Output\DSC_8853-DxO_DeepPRIME XD2s_XD.jpg,source\images\albums\monomial\0083_DSC_8853-DxO_DeepPRIME XD2s_XD.webp,,DSC_8853-DxO_DeepPRIME XD2s_XD,00:09.567
Magnitude,magnitude,..\Image_Output\DSC_8355.tif,source\images\albums\magnitude\0084_DSC_8355.webp,,DSC_8355,00:09.683
Yardstick Metric,yardstick-metric,..\Image_Output\DSC_8367.jpg,source\images\albums\yardstick-metric\0085_DSC_8367.webp,,DSC_8367,00:09.800
Mode,mode,..\Image_Output\DSC_8936.jpg,source\images\albums\mode\0086_DSC_8936.webp,,DSC_8936,00:09.917
Monomial,monomial,..\Image_Output\DSC_8924.jpg,source\images\albums\monomial\0087_DSC_8924.webp,,DSC_8924,00:10.033
Monomial,monomial,..\Image_Output\DSC_8878.jpg,source\images\albums\monomial\0088_DSC_8878.webp,,DSC_8878,00:10.150
Mode,mode,..\Image_Output\DSC_8886.jpg,source\images\albums\mode\0089_DSC_8886.webp,,DSC_8886,00:10.267
Mode,mode,..\Image_Output\IMG_8905.jpg,source\images\albums\mode\0092_IMG_8905.webp,,IMG_8905,00:10.617
Magnitude,magnitude,..\Image_Output\DSC_0338-DxO_DeepPRIME 3.jpg,source\images\albums\magnitude\0093_DSC_0338-DxO_DeepPRIME 3.webp,,DSC_0338-DxO_DeepPRIME 3,00:10.733
Monomial,monomial,..\Image_Output\DSC_8949.jpg,source\images\albums\monomial\0095_DSC_8949.webp,,DSC_8949,00:10.967
Intersection,intersection,..\Image_Output\DSC_8951.jpg,source\images\albums\intersection\0096_DSC_8951.webp,,DSC_8951,00:11.083
Monomial,monomial,..\Image_Output\DSC_8856.jpg,source\images\albums\monomial\0097_DSC_8856.webp,,DSC_8856,00:11.200
Monomial,monomial,..\Image_Output\DSC_8902.jpg,source\images\albums\monomial\0098_DSC_8902.webp,,DSC_8902,00:11.317
Monomial,monomial,..\Image_Output\DSC_8976.jpg,source\images\albums\monomial\0100_DSC_8976.webp,,DSC_8976,00:11.550
Magnitude,magnitude,..\Image_Output\DSC_0373-DxO_DeepPRIME 3.jpg,source\images\albums\magnitude\0103_DSC_0373-DxO_DeepPRIME 3.webp,,DSC_0373-DxO_DeepPRIME 3,00:11.900
Jacobi Matrix,jacobi-matrix,..\Image_Output\DSC_8508.jpg,source\images\albums\jacobi-matrix\0105_DSC_8508.webp,,DSC_8508,00:12.133
Monomial,monomial,..\Image_Output\DSC_8874.jpg,source\images\albums\monomial\0106_DSC_8874.webp,,DSC_8874,00:12.250
Mode,mode,..\Image_Output\DSC_8968.jpg,source\images\albums\mode\0107_DSC_8968.webp,,DSC_8968,00:12.367
Monomial,monomial,..\Image_Output\DSC_8977.jpg,source\images\albums\monomial\0108_DSC_8977.webp,,DSC_8977,00:12.483
Magnitude,magnitude,..\Image_Output\DSC_8890.jpg,source\images\albums\magnitude\0109_DSC_8890.webp,,DSC_8890,00:12.600
Monomial,monomial,..\Image_Output\DSC_1184.jpg,source\images\albums\monomial\0111_DSC_1184.webp,,DSC_1184,00:12.833
Magnitude,magnitude,..\Image_Output\Output.jpg,source\images\albums\magnitude\0112_Output.webp,,Output,00:12.950
